@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute MeanAttributeEntropy numeric
@attribute NaiveBayesAdwin.warnings numeric
@attribute NoiseToSignalRatio numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfBinaryFeatures numeric
@attribute DecisionStumpKappa numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute NumberOfMissingValues numeric
@attribute J48.001.ErrRate numeric
@attribute HoeffdingAdwin.changes numeric
@attribute PercentageOfNumericFeatures numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute NaiveBayesErrRate numeric
@attribute MinMutualInformation numeric
@attribute MajorityClassPercentage numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute J48.00001.ErrRate numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute PercentageOfMissingValues numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute EquivalentNumberOfAtts numeric
@attribute DecisionStumpErrRate numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute NaiveBayesAdwin.changes numeric
@attribute Quartile3AttributeEntropy numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MinorityClassPerentage numeric
@attribute J48.00001.Kappa numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute REPTreeDepth3AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute Quartile1AttributeEntropy numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute REPTreeDepth1Kappa numeric
@attribute Dimensionality numeric
@attribute REPTreeDepth2AUC numeric
@attribute MinAttributeEntropy numeric
@attribute NaiveBayesDdm.changes numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinorityClassSize numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute MajorityClassSize numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute MaxAttributeEntropy numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute HoeffdingDDM.changes numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute NaiveBayesKappa numeric
@attribute HoeffdingDDM.warnings numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute NumberOfInstances numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute J48.001.AUC numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute J48.0001.AUC numeric
@attribute RandomTreeDepth3AUC numeric
@attribute MeanMutualInformation numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth2AUC numeric
@attribute MinMeansOfNumericAtts numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute NumberOfFeatures numeric
@attribute NaiveBayesAUC numeric
@attribute DefaultAccuracy numeric
@attribute NaiveBayesDdm.warnings numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute MaxMutualInformation numeric
@attribute HoeffdingAdwin.warnings numeric
@attribute RandomTreeDepth1AUC numeric
@attribute J48.0001.Kappa numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute REPTreeDepth2Kappa numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute J48.00001.AUC numeric
@attribute Quartile2MutualInformation numeric
@attribute J48.001.Kappa numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute NumberOfClasses numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute ClassEntropy numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile3MutualInformation numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute J48.0001.ErrRate numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute REPTreeDepth3Kappa numeric
@attribute DecisionStumpAUC numeric

@data
10070,1,4.583687,0,6.391869,167,1,0.312014,7.073424,0,0.004547,3,98.235294,4.692863,0,0.151106,0.620099,84.586238,3,0.004547,102,0,-1.898357,407.927677,1,0.121552,0.034859,302909.910229,3,4.583687,49.355039,15.413762,0.982563,0.000606,9.73009,0.999992,0.034859,4.583687,2625.356511,1502.227612,0.997671,0.025765,0.999992,4.583687,1,102,1017,4.583687,1.38546,1328.446686,0.620099,2.475285,5581,0.000606,4.583687,0.865451,1,61.149004,0.520874,1,694.72643,102,0.000606,120617.236728,6598,0.865451,0.994693,20.245759,0.994693,0.931158,0.620099,0.034859,0.931158,-265.690967,0.588235,170,0.89959,0.845862,1,2264.215891,0.999992,0.620099,0,0.931158,0.982563,262.287037,0.865451,432.115192,0.997671,1178.988272,0.994693,0.620099,0.982563,0,2,0,0.620099,2.94649,0.620099,-1.435319,1.764706,0.004547,0,0.997671,0.605247
10071,1,-1,0,?,10936,1,0.736004,4.657604,0,0.066667,15,99.990857,4.113537,0,0.030421,?,77.734628,1,0.066667,-1,0,-0.928678,1533.022729,?,0.097735,0.133333,148018.685068,21,?,53.575936,22.265372,0.807609,0.065372,12.472883,0.921248,0.133333,?,3366.362338,2048.124799,0.80897,7.078964,0.921248,?,9,-1,344,?,1.629828,1849.999182,?,2.572727,1201,0.065372,?,0.609965,19,37.859171,0.911291,10,986.319045,-1,0.065372,117603.636828,1545,0.609965,0.905873,39.142901,0.905873,0.801187,?,0.133333,0.801187,0,0.009143,10937,0.951374,0.777346,9,2779.283107,0.921248,?,0,0.801187,0.807609,907.510955,0.609965,656.168419,0.80897,1551.313172,0.905873,?,0.807609,0,2,-1,0.764984,5.135928,?,-0.003281,0.009143,0.066667,0,0.80897,0.892107
10072,1,-1,0,?,10936,1,0.836353,4.687243,0,0.056311,9,99.990857,4.19941,0.002272,0.033657,?,81.488673,1,0.056311,-1,0,-1.957723,193665.333342,?,0.049838,0.098382,148018.685068,11,?,73.154171,18.511327,0.817058,0.050485,12.572031,0.959656,0.098382,?,3358.400183,2043.279488,0.832659,7.078964,0.959656,?,9,-1,286,?,1.631844,1845.469931,?,2.585136,1259,0.050485,?,0.666695,19,38.095433,0.887528,10,984.374135,-1,0.050485,117603.636828,1545,0.666695,0.888598,440.076509,0.888598,0.826141,?,0.098382,0.826141,0.000005,0.009143,10937,0.940425,0.814887,9,2774.481149,0.959656,?,0,0.826141,0.817058,902.900987,0.666695,654.382284,0.832659,1547.795405,0.888598,?,0.817058,0,2,-1,0.691136,5.172012,?,-1.181143,0.009143,0.056311,0,0.832659,0.923871
10074,1,-1,0,?,10936,1,0.904066,4.663614,0,0.023948,6,99.990857,4.119004,479.934257,0.017476,?,83.171521,1,0.023948,-1,0,-0.857092,1533.022729,?,0.027184,-1,148018.685068,5,?,53.695595,16.828479,0.912434,-1,12.520734,-1,-1,?,3374.673742,2053.181428,-1,7.078964,-1,?,9,-1,260,?,1.631712,1854.979017,?,2.577208,1285,-1,?,-1,19,37.943011,0.937282,10,989.485177,-1,-1,117603.636828,1545,-1,0.944758,39.142901,0.944692,-1,?,-1,-1,42.301748,0.009143,10937,0.966485,0.831715,9,2783.667638,-1,?,0,-1,0.912434,911.969709,-1,658.36571,-1,1554.491845,0.944692,?,0.912434,0,2,-1,0.653766,5.169525,?,-0.003281,0.009143,0.023948,0,-1,0.954651
10075,1,-1,0,?,10936,1,0.809787,4.663614,0,0.025243,0,99.990857,4.119004,479.934257,0.041424,?,91.84466,1,0.029126,-1,0,-0.857092,1533.022729,?,0.026537,0.088026,148018.685068,0,?,53.695595,8.15534,0.777401,0.026537,12.520734,0.868922,0.104207,?,3374.673742,2053.181428,0.809787,7.078964,0.868922,?,0,-1,126,?,1.631712,1854.979017,?,2.577208,1419,0.026537,?,0.222893,10,37.943011,0.727423,10,989.485177,-1,0.026537,117603.636828,1545,0,0.90816,39.142901,0.884658,0.777845,?,0.081553,0.71001,42.301748,0.009143,10937,0.870107,0.918447,5,2783.667638,0.868922,?,0,0.677313,0.777401,911.969709,0.069038,658.36571,0.809787,1554.491845,0.884658,?,0.81475,0,2,-1,0.407629,5.169525,?,-0.003281,0.009143,0.029126,0,0.809787,0.88484
10076,1,-1,0,?,10936,1,0,4.131289,0,0.064725,0,99.990857,3.456196,0,0.081553,?,95.016181,1,0.064725,-1,0,-1.133186,1533.022729,?,0.049838,0.089968,336479.643203,0,?,34.313332,4.983819,0.299345,0.049838,9.200243,0.496753,0.089968,?,3293.997441,1925.609948,0,7.078964,0.496753,?,0,-1,77,?,1.42773,1693.779135,?,2.285182,1468,0.049838,?,0.032195,10,26.577581,0.43231,10,907.496738,-1,0.049838,124833.887645,1545,0.032195,0.526788,39.142901,0.526788,0.5158,?,0.089968,0.5158,0,0.009143,10937,0.827658,0.950162,1,2719.838996,0.496753,?,0,0.5158,0.299345,868.877778,0.032195,607.675541,0,1508.340385,0.526788,?,0.299345,0,2,-1,0.285709,3.70858,?,-4.706787,0.009143,0.064725,0,0,0.852715
10077,1,-1,0,?,10936,1,0.595586,4.663614,0,0.078317,2,99.990857,4.119004,479.934257,0.142395,?,87.184466,1,0.078317,-1,0,-0.857092,1533.022729,?,0.084142,0.132686,148018.685068,4,?,53.695595,12.815534,0.606277,0.080259,12.520734,0.865744,0.128803,?,3374.673742,2053.181428,0.579287,7.078964,0.806221,?,0,-1,198,?,1.631712,1854.979017,?,2.577208,1347,0.081553,?,0.055272,10,37.943011,0.51682,11,989.485177,-1,0.093204,117603.636828,1545,0,0.773905,39.142901,0.773905,0.746794,?,0.128155,0.738784,42.301748,0.009143,10937,0.841372,0.871845,9,2783.667638,0.798906,?,0,0.646684,0.606277,911.969709,0.172811,658.36571,0.619532,1554.491845,0.773905,?,0.606277,0,2,-1,0.552357,5.169525,?,-0.003281,0.009143,0.078317,0,0.650121,0.798224
10079,1,-1,0,?,10936,1,0,4.655578,0,0.094498,0,99.990857,4.109239,0.110511,0.097735,?,91.97411,1,0.094498,-1,0,-1.725478,1533.022729,?,0.080259,0.115858,148018.685068,0,?,53.554331,8.02589,0.386991,0.080259,12.45222,0.499824,0.115858,?,3366.985842,2047.750207,0,7.078964,0.499824,?,0,-1,124,?,1.627587,1848.993413,?,2.571793,1421,0.080259,?,0.21812,10,37.852689,0.495745,10,985.840304,-1,0.080259,117603.636828,1545,0.21812,0.661611,39.142901,0.661611,0.609461,?,0.115858,0.609461,-4.331745,0.009143,10937,0.829105,0.919741,7,2779.776019,0.499824,?,0,0.609461,0.386991,907.645696,0.21812,656.123332,0,1551.392298,0.661611,?,0.386991,0,2,-1,0.403091,5.130848,?,-1.703351,0.009143,0.094498,0,0,0.831772
10080,1,-1,0,?,21,1,0,3.693948,0,0.073039,0,95.454545,3.227078,0,0.110009,?,93.056808,1,0.073039,-1,0,-2.004386,14389.000208,?,0.069432,0.099188,21111483.86778,0,?,80.27662,6.943192,0.212323,0.074842,0.444721,0.694535,0.099188,?,-5139.42286,5523.046211,0.030503,0.019838,0.694535,?,1,-1,77,?,0.010157,22.194169,?,0.774179,1032,0.074842,?,0.213516,1,14.630673,0.214744,1,1,-1,0.074842,26074559.210526,1109,0.213516,0.565545,119.962495,0.565545,0.602757,?,0.099188,0.602757,-91638847.147731,4.545455,22,0.686937,0.930568,1,18.405421,0.694535,?,0,0.602757,0.212323,0,0.213516,0.326888,0.030503,0.164443,0.565545,?,0.212323,0,2,-1,0.3638,-1.158912,?,-75.962778,4.545455,0.073039,0,0.030503,0.727411
10082,1,-1,0,?,37,1,0,3.575765,0,0.119002,0,97.368421,3.134815,0,0.482406,?,89.763276,1,0.119002,-1,0,-2.004386,14389.000208,?,0.102367,0.163788,21111483.86778,2,?,78.387841,10.236724,0.118053,0.110045,0.238607,0.748517,0.163788,?,-5433.187063,5578.740364,0.110657,0.024312,0.748517,?,6,-1,160,?,0.0048,20.082442,?,0.676272,1403,0.110045,?,0.168614,0,13.682732,0.067912,13,1,-1,0.110045,26074559.210526,1563,0.168614,0.531203,119.962495,0.531203,0.590119,?,0.163788,0.590119,-91638847.147731,2.631579,38,0.661273,0.897633,23,17.396088,0.748517,?,0,0.590119,0.118053,0,0.168614,0.308999,0.110657,0.115937,0.531203,?,0.118053,0,2,-1,0.476455,-1.168494,?,-75.962778,2.631579,0.119002,0,0.110657,0.706029
10083,1,-1,0,?,37,1,0,3.56475,0,0.111797,0,97.368421,3.105773,0,0.168724,?,87.791495,1,0.111797,-1,0,-2.004386,14389.000208,?,0.122085,0.13786,21111483.86778,0,?,77.74179,12.208505,0.430237,0.111111,0.224645,0.86794,0.13786,?,-5459.253925,5559.494687,0.349523,0.026063,0.86794,?,2,-1,178,?,0.00406,19.621231,?,0.670673,1280,0.111111,?,0.325904,2,13.241144,0.30082,4,1,-1,0.111111,26074559.210526,1458,0.325904,0.707573,119.962495,0.707573,0.657832,?,0.13786,0.657832,-91638847.147731,2.631579,38,0.819186,0.877915,3,17.233196,0.86794,?,0,0.657832,0.430237,0,0.325904,0.307791,0.349523,0.113266,0.707573,?,0.430237,0,2,-1,0.535325,-1.169005,?,-75.962778,2.631579,0.111797,0,0.349523,0.833807
10084,1,2.469034,0,130.186755,5,1,0,6.158285,1200,0.327381,0,50,6.504548,0,0.330357,0,66.666667,5,0.327381,28,17.857143,-1.964773,3692.300325,48.791652,0.333333,0.373512,294.244598,0,4.653221,156.480056,33.333333,0.110512,0.333333,16.041761,0.5,0.373512,0.142885,13.131993,3.652502,0,0.014881,0.5,-0,0,2,224,2.610996,0.878079,1,0.001777,3.239808,448,0.333333,4.654144,0.121354,0,65.875055,0.165414,9,0.476222,15.5,0.333333,1986.463918,672,0.121354,0.5496,60.780756,0.5496,0.548464,0.018821,0.373512,0.548464,-1.465547,10,10,0.641123,0.666667,4,0.355033,0.5,0.034468,0,0.548464,0.110512,-0.131818,0.121354,0.152382,0,0.01923,0.5496,0.020408,0.110512,99.107143,2,14.456832,0.918296,1.202861,0.034277,-3.804792,50,0.327381,666,0,0.62513
