@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute ubc_cheap numeric
@attribute ubc_all numeric
@attribute tspmeta numeric
@attribute eax_probing numeric

@data
rue_1000-133,1,0.77,4.57,3.5,1.77
rue_1000-134,1,0.65,5.89,3.61,1.805
rue_1000-135,1,0.66,9,3.61,1.835
rue_1000-136,1,0.58,7.71,3.48,1.815
rue_1000-137,1,0.73,5.86,3.26,1.83
rue_1000-138,1,0.66,5.32,3.18,1.805
rue_1000-139,1,0.62,7.3,3.95,1.775
rue_1000-14,1,0.74,5.84,3.95,1.795
rue_1000-140,1,0.65,8.56,3.12,1.84
rue_1000-141,1,0.63,8.41,3.32,1.845
rue_1000-142,1,0.95,8.97,3.99,1.88
rue_1000-143,1,0.63,6.29,3.79,1.855
rue_1000-144,1,0.68,7,3.73,1.845
rue_1000-145,1,0.66,5.56,3.74,1.85
rue_1000-146,1,0.82,7.02,3.85,1.835
rue_1000-147,1,0.9,7.15,4.03,1.78
rue_1000-148,1,0.79,6.34,3.4,1.735
rue_1000-149,1,0.67,5.49,3.61,1.815
rue_1000-15,1,0.85,5.84,3.68,1.805
rue_1000-150,1,0.73,8.6,3.7,1.79
rue_1000-151,1,0.68,7.5,3.43,1.805
rue_1000-152,1,0.73,7.47,3.83,1.84
rue_1000-153,1,0.84,7.67,3.67,1.71
rue_1000-154,1,0.64,7.17,3.29,1.845
rue_1000-155,1,0.66,6.17,3.82,1.83
rue_1000-156,1,0.88,6.51,3.51,1.92
rue_1000-157,1,1.04,5.18,3.79,1.81
rue_1000-158,1,0.77,6.93,3.93,1.755
rue_1000-159,1,0.84,6.92,4.17,1.82
rue_1000-16,1,1.06,7.31,3.31,1.82
rue_1000-160,1,0.66,6.91,3.43,1.78
rue_1000-161,1,0.78,6.32,3.66,1.79
rue_1000-162,1,0.66,7.14,3.37,1.8
rue_1000-163,1,0.64,6,3.85,1.8
rue_1000-164,1,0.64,5.62,3.92,1.77
rue_1000-165,1,0.62,6.18,3.81,1.87
rue_1000-166,1,0.73,5.54,3.79,1.75
rue_1000-167,1,0.62,7.31,3.66,1.765
rue_1000-168,1,0.61,6.65,4.07,1.8
rue_1000-169,1,0.67,8.5,3.78,1.805
rue_1000-17,1,0.61,7.25,3.49,1.885
rue_1000-170,1,0.67,7.67,3.6,1.825
rue_1000-171,1,0.61,6.24,3.28,1.765
rue_1000-172,1,0.59,6.41,3.37,1.84
rue_1000-173,1,0.62,8.4,3.17,1.745
rue_1000-174,1,0.8,6.12,3.18,1.86
rue_1000-175,1,0.9,7.04,3.65,1.77
rue_1000-176,1,0.62,8.34,3.89,1.85
rue_1000-177,1,0.65,7.56,3.42,1.805
rue_1000-178,1,0.67,8.11,3.63,1.805
rue_1000-179,1,0.65,6.39,3.61,1.905
rue_1000-18,1,0.64,6.92,3.41,1.82
rue_1000-180,1,0.61,7.32,3.69,1.81
rue_1000-181,1,0.64,6.36,3.75,1.84
rue_1000-182,1,0.84,7.11,3.98,1.855
rue_1000-183,1,0.66,6.86,3.55,1.855
rue_1000-184,1,0.66,5.79,3.33,1.805
rue_1000-185,1,0.63,7.58,3.34,1.815
rue_1000-186,1,0.66,7.08,3.27,1.88
rue_1000-187,1,0.64,7.38,3.62,1.845
rue_1000-188,1,0.7,6.38,3.48,1.85
rue_1000-189,1,0.94,6.46,3.99,1.825
rue_1000-19,1,0.67,6.44,3.3,1.885
rue_1000-190,1,0.65,7.99,3.43,1.785
rue_1000-191,1,0.64,6.49,3.23,1.87
rue_1000-192,1,0.82,6.47,3.51,1.85
rue_1000-193,1,0.63,6.36,3.59,1.81
rue_1000-194,1,0.64,6.71,3.3,1.85
rue_1000-195,1,0.71,7.17,3.38,1.79
rue_1000-196,1,0.62,7.43,3.24,1.77
rue_1000-197,1,0.94,7.25,3.28,1.845
rue_1000-198,1,0.63,5.52,3.71,1.86
rue_1000-199,1,0.66,6.45,3.71,1.81
rue_1000-2,1,0.79,7.37,3.15,1.775
rue_1000-20,1,0.73,6.91,3.47,1.93
rue_1000-200,1,0.65,8.97,3.75,1.86
rue_1000-201,1,0.61,6.26,3.93,1.81
rue_1000-202,1,0.82,5.76,3.57,1.805
rue_1000-203,1,0.68,8.07,3.5,1.88
rue_1000-204,1,0.65,5.48,3.5,1.74
rue_1000-205,1,0.7,6.05,3.31,1.78
rue_1000-206,1,0.82,7.41,3.39,1.83
rue_1000-207,1,1.05,5.82,3.54,1.735
rue_1000-208,1,0.7,7.56,3.54,1.825
rue_1000-209,1,0.65,7.63,3.91,1.81
rue_1000-21,1,0.66,9.26,3.34,1.86
rue_1000-210,1,0.93,5.52,3.2,1.85
rue_1000-211,1,0.72,7.59,3.78,1.85
rue_1000-212,1,0.82,5.8,3.46,1.745
rue_1000-213,1,0.8,6.68,3.19,1.785
rue_1000-214,1,0.68,7.08,3.6,1.9
rue_1000-215,1,0.62,6.94,3.36,1.86
rue_1000-216,1,0.66,6.42,3.54,1.76
rue_1000-217,1,0.76,8.94,3.79,1.82
rue_1000-218,1,0.61,7.24,3.95,1.86
rue_1000-219,1,0.83,7.4,3.47,1.815
rue_1000-22,1,0.67,6.28,3.27,1.83
rue_1000-220,1,0.76,5.88,3.54,1.725
rue_1000-221,1,0.63,7.57,3.27,1.835
rue_1000-222,1,0.7,7.03,3.22,1.875
rue_1000-223,1,0.8,5.82,3.46,1.795
rue_1000-224,1,0.67,7.92,3.52,1.78
rue_1000-225,1,1.07,6.51,3.78,1.79
rue_1000-226,1,0.69,7.19,3.36,1.85
rue_1000-227,1,1.08,6.48,3.47,1.84
rue_1000-228,1,0.58,6.35,3.23,1.795
rue_1000-229,1,0.65,5.87,3.41,1.82
rue_1000-23,1,0.61,6.22,3.4,1.835
rue_1000-230,1,0.71,6.62,3.56,1.87
rue_1000-231,1,0.67,7.25,3.26,1.785
rue_1000-232,1,0.91,6.93,3.74,1.78
rue_1000-233,1,0.63,5.99,3.66,1.805
rue_1000-234,1,0.71,7.33,3.77,1.83
rue_1000-235,1,0.77,6.73,4.06,1.795
rue_1000-236,1,0.79,5.69,3.64,1.845
rue_1000-237,1,0.75,5.74,3.34,1.84
rue_1000-238,1,0.85,8.92,3.19,1.825
rue_1000-239,1,0.82,4.92,3.9,1.815
rue_1000-24,1,0.62,6.46,3.77,1.795
rue_1000-240,1,0.92,9.3,3.54,1.875
rue_1000-241,1,1,7.9,3.77,1.855
rue_1000-242,1,0.6,7.44,3.7,1.895
rue_1000-243,1,1.05,7.52,3.79,1.96
rue_1000-244,1,0.77,7.6,3.7,1.86
rue_1000-245,1,0.59,6.51,3.91,1.875
rue_1000-246,1,0.76,7.29,3.73,1.87
rue_1000-247,1,0.71,7.84,3.7,1.81
rue_1000-248,1,0.64,6.98,4.12,1.835
rue_1000-249,1,0.62,6.78,3.75,1.87
rue_1000-25,1,0.57,7.51,3.66,1.765
rue_1000-250,1,0.83,6.86,3.46,1.85
rue_1000-251,1,0.58,5.84,3.53,1.84
rue_1000-252,1,0.58,6.5,3.69,1.775
rue_1000-253,1,0.86,6.13,3.6,1.835
rue_1000-254,1,0.76,7.49,3.45,1.795
rue_1000-255,1,0.7,5.99,3.49,1.81
rue_1000-256,1,0.64,7.13,3.59,1.87
rue_1000-257,1,0.61,6.54,3.46,1.845
rue_1000-258,1,0.95,6.19,3.43,1.89
rue_1000-259,1,0.68,7.3,3.63,1.775
rue_1000-26,1,0.8,6.42,4.01,1.785
rue_1000-260,1,0.68,6.16,4,1.685
rue_1000-261,1,0.62,6.56,3.18,1.705
rue_1000-262,1,0.57,7.44,3.46,1.79
rue_1000-263,1,0.56,6.52,3.88,1.765
rue_1000-264,1,0.73,6.92,3.47,1.865
rue_1000-265,1,0.7,6.66,3.26,1.77
rue_1000-266,1,0.8,6.23,3.92,1.81
rue_1000-267,1,0.57,6.87,3.69,1.745
rue_1000-268,1,0.58,8.12,3.77,1.85
rue_1000-269,1,0.73,5.91,4.48,1.83
rue_1000-27,1,0.64,7.48,3.63,1.865
rue_1000-270,1,0.76,5.86,3.77,1.805
rue_1000-271,1,0.74,5.62,3.58,1.915
rue_1000-272,1,0.99,7.18,4.01,1.805
rue_1000-273,1,0.65,6.44,3.88,1.825
rue_1000-274,1,0.66,6.58,3.71,1.81
rue_1000-275,1,0.67,6.32,3.55,1.795
rue_1000-276,1,0.79,5.34,3.57,1.785
rue_1000-277,1,0.64,7.6,3.67,1.885
rue_1000-278,1,0.58,6.02,3.91,1.835
rue_1000-279,1,0.73,8.01,3.88,1.83
rue_1000-28,1,0.6,6.12,3.84,1.815
rue_1000-280,1,0.75,7.17,4.17,1.78
rue_1000-281,1,0.78,6.04,3.88,1.85
rue_1000-282,1,1.13,5.94,3.41,1.82
rue_1000-283,1,0.63,8.24,3.39,1.805
rue_1000-284,1,0.75,6.9,3.23,1.815
rue_1000-285,1,0.63,7.11,3.74,1.895
rue_1000-286,1,0.6,6.41,4.65,1.86
rue_1000-287,1,0.82,6.54,4.63,1.825
rue_1000-288,1,0.66,6.04,4.05,1.815
rue_1000-289,1,0.94,6.14,4.44,1.8
rue_1000-29,1,0.61,7.11,3.67,1.81
rue_1000-290,1,0.67,6.93,3.61,1.74
rue_1000-291,1,0.71,8.02,3.64,1.88
rue_1000-292,1,0.87,8.11,3.52,1.87
rue_1000-293,1,0.71,7.35,3.28,1.865
rue_1000-294,1,0.86,7.46,3.18,1.78
rue_1000-295,1,0.61,7.34,3.6,1.77
rue_1000-296,1,0.61,6.45,3.22,1.85
rue_1000-297,1,0.71,8.31,3.95,1.805
rue_1000-298,1,0.86,7.85,3.57,1.745
rue_1000-299,1,0.71,6.19,3.53,1.805
rue_1000-3,1,0.93,7.51,3.69,1.765
rue_1000-30,1,0.64,6.61,3.67,1.79
rue_1000-300,1,0.7,8.59,3.51,1.835
rue_1000-301,1,0.59,6.9,3.42,1.86
rue_1000-302,1,0.71,5.72,3.42,1.76
rue_1000-303,1,0.89,7.11,3.17,1.83
rue_1000-304,1,0.75,6.92,3.14,1.79
rue_1000-305,1,0.59,6.65,3.19,1.78
rue_1000-306,1,0.66,6.8,3.12,1.865
rue_1000-307,1,0.68,5.22,3.73,1.88
rue_1000-308,1,0.85,7.14,3.49,1.77
rue_1000-309,1,0.76,6.89,3.83,1.855
rue_1000-31,1,0.57,6.25,3.46,1.815
rue_1000-310,1,0.73,6.62,3.63,1.875
rue_1000-311,1,0.69,5.55,3.8,1.84
rue_1000-312,1,0.64,5.49,4.37,1.85
rue_1000-313,1,0.59,6.82,4.16,1.795
rue_1000-314,1,0.59,5.5,4.19,1.8
rue_1000-315,1,0.62,7.65,4.08,1.82
rue_1000-316,1,0.67,5.39,4.44,1.785
rue_1000-317,1,0.85,7.43,4.13,1.775
rue_1000-318,1,0.72,5.5,3.83,1.79
rue_1000-319,1,0.57,8.04,4.16,1.76
rue_1000-32,1,0.63,7.57,3.12,1.845
rue_1000-320,1,0.62,6.47,3.25,1.85
rue_1000-321,1,0.91,5.7,3.41,1.79
rue_1000-322,1,0.84,7.11,3.22,1.875
rue_1000-323,1,0.76,5.87,3.63,1.825
rue_1000-324,1,0.6,6.73,3.44,1.79
rue_1000-325,1,0.64,5.86,3.52,1.84
rue_1000-326,1,0.59,5.71,3.37,1.765
rue_1000-327,1,0.71,6.63,3.56,1.815
rue_1000-328,1,0.72,5.3,3.52,1.745
rue_1000-329,1,0.82,6.78,3.82,1.855
rue_1000-33,1,0.71,7.43,3.84,1.82
rue_1000-330,1,0.62,7.27,3.59,1.79
rue_1000-331,1,0.94,5.68,3.09,1.855
rue_1000-332,1,0.82,6.17,3.35,1.785
rue_1000-333,1,0.94,7.28,3.57,1.81
rue_1000-334,1,0.64,7.88,3.99,1.845
rue_1000-335,1,0.75,6.47,4.01,1.815
rue_1000-336,1,0.72,9.36,3.56,1.92
rue_1000-337,1,0.85,7.45,3.84,1.84
rue_1000-338,1,0.7,5.6,3.76,1.77
rue_1000-339,1,0.97,7.34,3.97,1.84
rue_1000-34,1,0.63,7.61,3.43,1.825
rue_1000-340,1,0.65,7.97,4.07,1.81
rue_1000-341,1,0.69,7.27,3.65,1.875
rue_1000-342,1,0.97,7.08,3.81,1.835
rue_1000-343,1,1.04,6.95,4.12,1.835
rue_1000-344,1,0.9,7.97,3.63,1.735
rue_1000-345,1,0.78,7.34,3.88,1.8
rue_1000-346,1,0.7,7.73,3.73,1.785
rue_1000-347,1,0.92,6.35,3.33,1.775
rue_1000-348,1,0.66,7.23,3.28,1.845
rue_1000-349,1,0.64,6.32,3.32,1.84
rue_1000-35,1,0.79,7.33,4.26,1.825
rue_1000-350,1,0.62,6.76,4.4,1.85
rue_1000-351,1,0.79,7.57,4.64,1.85
rue_1000-352,1,0.85,6.88,4.26,1.895
rue_1000-353,1,0.61,5.76,4.32,1.84
rue_1000-354,1,0.81,6.51,4.22,1.82
rue_1000-355,1,0.57,7.59,4.49,1.835
rue_1000-356,1,0.6,6.09,3.99,1.775
rue_1000-357,1,0.68,6.93,4.28,1.795
rue_1000-358,1,0.8,8.4,4.15,1.78
rue_1000-359,1,0.66,8.04,4.28,1.84
rue_1000-36,1,0.96,6.48,3.2,1.74
rue_1000-360,1,0.9,7.24,4.26,1.805
rue_1000-361,1,0.64,7.79,4.27,1.825
rue_1000-362,1,0.81,8.06,4.17,1.795
rue_1000-363,1,0.73,8.09,3.89,1.77
rue_1000-364,1,0.6,6.84,4.15,1.86
rue_1000-365,1,0.65,7.92,4.18,1.8
rue_1000-366,1,0.59,7.84,3.96,1.79
rue_1000-367,1,0.75,6.48,3.94,1.87
rue_1000-368,1,0.73,7.7,3.31,1.86
rue_1000-369,1,0.64,5.72,3.06,1.77
rue_1000-37,1,0.84,5.36,3.99,1.715
rue_1000-370,1,0.65,7.27,3.91,1.74
rue_1000-371,1,0.77,6.16,4.11,1.8
rue_1000-372,1,0.71,7.02,4.42,1.8
rue_1000-373,1,1,7.33,4.68,1.855
rue_1000-374,1,0.74,5.52,4.13,1.805
rue_1000-375,1,0.61,8.77,4.01,1.845
rue_1000-376,1,0.73,8.34,4.04,1.82
rue_1000-377,1,0.62,7.92,4,1.84
rue_1000-378,1,0.66,6.48,3.7,1.84
rue_1000-379,1,0.38,6.63,3.87,1.82
rue_1000-38,1,0.47,5.28,4.9,1.795
rue_1000-380,1,0.33,6.23,3.87,1.935
rue_1000-381,1,0.63,7.28,4.09,1.815
rue_1000-382,1,0.46,8.68,3.99,1.85
rue_1000-383,1,0.79,5.29,3.59,1.815
rue_1000-384,1,0.66,5.7,4.26,1.82
rue_1000-385,1,0.79,7.31,4.12,1.79
rue_1000-386,1,0.7,6.34,4.01,1.79
rue_1000-387,1,0.67,4.17,3.97,1.795
rue_1000-388,1,0.79,6.26,3.74,1.8
rue_1000-389,1,0.61,5.81,4.41,1.865
rue_1000-39,1,0.65,7.95,3.94,1.86
rue_1000-390,1,0.5,8.24,4.51,1.775
rue_1000-391,1,0.59,5.77,4.65,1.765
rue_1000-392,1,0.55,5.64,4.77,1.805
rue_1000-393,1,0.52,7.58,4.53,1.745
rue_1000-394,1,0.7,6.57,4.19,1.76
rue_1000-395,1,0.65,6.23,4.18,1.845
rue_1000-396,1,0.56,7.94,4.25,1.855
rue_1000-397,1,0.6,8.19,3.92,1.84
rue_1000-398,1,0.68,5.95,4.15,1.74
rue_1000-399,1,0.78,6.06,3.91,1.87
rue_1000-4,1,0.67,6.76,4.32,1.825
rue_1000-40,1,0.91,6.66,3.54,1.855
rue_1000-400,1,0.58,6.39,3.54,1.79
rue_1000-401,1,0.78,6.92,3.4,1.87
rue_1000-402,1,0.67,7.23,3.32,1.8
rue_1000-403,1,0.9,6.95,3.84,1.865
rue_1000-404,1,0.61,8.22,3.97,1.795
rue_1000-405,1,0.65,6.28,3.62,1.865
rue_1000-406,1,0.81,6.61,3.9,1.775
rue_1000-407,1,0.6,6.24,3.36,1.815
rue_1000-408,1,0.73,6.46,3.61,1.795
rue_1000-409,1,0.69,6.1,3.8,1.775
rue_1000-41,1,0.63,6.54,4,1.81
rue_1000-410,1,0.91,8.3,4.21,1.78
rue_1000-411,1,0.65,5.56,3.65,1.75
rue_1000-412,1,0.78,6.15,3.31,1.865
rue_1000-413,1,0.58,6.87,3.99,1.78
rue_1000-414,1,0.69,6.39,3.42,1.855
rue_1000-415,1,0.68,5.93,3.82,1.805
rue_1000-416,1,0.64,7.57,3.41,1.78
rue_1000-417,1,0.65,7.54,3.96,1.845
rue_1000-418,1,0.59,7.39,3.27,1.805
rue_1000-419,1,0.96,8.06,3.23,1.805
rue_1000-42,1,0.67,6.2,3.88,1.82
rue_1000-420,1,0.8,6.45,3.5,1.875
rue_1000-421,1,0.65,8.35,3.36,1.88
rue_1000-422,1,0.77,7.27,3.32,1.8
rue_1000-423,1,0.75,7.06,3.86,1.78
rue_1000-424,1,0.57,7.56,3.97,1.775
rue_1000-425,1,0.67,8.99,4.44,1.855
rue_1000-426,1,0.65,5.68,4,1.735
rue_1000-427,1,0.58,7.1,4.26,1.76
rue_1000-428,1,1.01,6.81,4.41,1.81
rue_1000-429,1,0.67,7.14,4.17,1.8
rue_1000-43,1,0.64,7.25,3.64,1.89
rue_1000-430,1,0.69,6.43,3.84,1.76
rue_1000-431,1,0.68,7.89,4.19,1.765
rue_1000-432,1,0.84,6.21,4.04,1.845
rue_1000-433,1,0.75,6.74,4.13,1.77
rue_1000-434,1,0.61,8.52,3.71,1.82
rue_1000-435,1,0.71,6.33,3.87,1.785
rue_1000-436,1,0.6,6.58,3.9,1.845
rue_1000-437,1,0.63,6.65,3.85,1.79
rue_1000-438,1,0.85,6.14,4.59,1.855
rue_1000-439,1,0.62,6.3,3.77,1.815
rue_1000-44,1,0.67,6.61,3.15,1.775
rue_1000-440,1,0.63,7.62,4.47,1.825
rue_1000-441,1,0.75,8.95,4,1.855
rue_1000-442,1,0.87,7,4.86,1.84
rue_1000-443,1,0.68,6.43,4.09,1.84
rue_1000-444,1,0.9,6.83,4.44,1.76
rue_1000-445,1,0.88,7.29,4.41,1.825
rue_1000-446,1,0.69,6.15,3.84,1.77
rue_1000-447,1,0.96,6.58,3.93,1.805
rue_1000-448,1,0.65,7.41,4.1,1.81
rue_1000-449,1,0.97,7.48,3.5,1.785
rue_1000-45,1,0.84,6.88,3.37,1.765
rue_1000-450,1,0.78,6.82,3.39,1.92
rue_1000-451,1,0.79,8.22,3.72,1.74
rue_1000-452,1,0.69,6.72,3.64,1.83
rue_1000-453,1,0.82,7.6,3.79,1.715
rue_1000-454,1,0.77,7.25,3.68,1.82
rue_1000-455,1,0.79,6.93,3.69,1.845
rue_1000-456,1,0.73,6.39,3.46,1.77
rue_1000-457,1,0.91,8.52,3.4,1.83
rue_1000-458,1,0.83,7.81,3.64,1.86
rue_1000-459,1,0.7,6.93,3.77,1.855
rue_1000-46,1,0.66,5.59,3.18,1.86
rue_1000-460,1,0.65,6.83,3.62,1.795
rue_1000-461,1,0.97,7.44,3.84,1.8
rue_1000-462,1,0.68,4.56,3.35,1.685
rue_1000-463,1,0.72,5.68,3.24,1.78
rue_1000-464,1,0.82,7.13,3.39,1.865
rue_1000-465,1,0.81,5.37,3.35,1.78
rue_1000-466,1,0.89,6.12,3.8,1.855
rue_1000-467,1,0.61,6.82,3.54,1.81
rue_1000-468,1,0.67,5.33,3.5,1.825
rue_1000-469,1,0.76,7.05,3.9,1.845
rue_1000-47,1,0.68,7.75,3.3,1.77
rue_1000-470,1,0.82,7.39,3.55,1.765
rue_1000-471,1,0.65,6.57,3.23,1.835
rue_1000-472,1,0.81,7,3.36,1.82
rue_1000-473,1,0.62,6.8,3.43,1.825
rue_1000-474,1,0.6,6.04,3.53,1.78
rue_1000-475,1,0.78,6.75,3.48,1.705
rue_1000-476,1,0.65,5.55,3.41,1.82
rue_1000-477,1,0.98,6.77,3.5,1.805
rue_1000-478,1,0.67,7.76,3.73,1.87
rue_1000-479,1,0.83,7.45,3.57,1.79
rue_1000-48,1,0.76,6.62,4.02,1.775
rue_1000-480,1,0.65,5.74,3.73,1.765
rue_1000-481,1,0.93,6.54,3.56,1.775
rue_1000-482,1,0.69,6.65,3.2,1.8
rue_1000-483,1,0.75,6.75,3.65,1.875
rue_1000-484,1,0.62,6.83,3.4,1.81
rue_1000-485,1,0.87,5.43,3.3,1.82
rue_1000-486,1,0.68,5.09,3.61,1.68
rue_1000-487,1,0.82,6.98,3.68,1.83
rue_1000-488,1,0.65,5.49,3.35,1.81
rue_1000-489,1,0.71,6.74,3.42,1.805
rue_1000-49,1,0.66,6.83,4.44,1.855
rue_1000-490,1,0.64,8.19,4.12,1.83
rue_1000-491,1,0.9,7.64,3.76,1.755
rue_1000-492,1,0.89,7.56,3.72,1.83
rue_1000-493,1,0.71,7.06,3.78,1.785
rue_1000-494,1,0.67,6.84,3.24,1.855
rue_1000-495,1,0.82,8.3,3.51,1.87
rue_1000-496,1,0.62,7.44,3.52,1.79
rue_1000-497,1,0.69,5.1,4.34,1.805
rue_1000-498,1,0.72,7.38,4.12,1.82
rue_1000-499,1,0.84,7.29,4.44,1.845
rue_1000-5,1,0.74,7.95,3.66,1.775
rue_1000-50,1,0.65,5.86,4.06,1.855
rue_1000-500,1,0.66,8.24,3.85,1.795
rue_1000-501,1,0.69,7.08,3.64,1.83
rue_1000-502,1,0.81,6.89,3.51,1.875
rue_1000-503,1,0.66,7.35,3.28,1.905
rue_1000-504,1,0.65,5.98,3.53,1.815
rue_1000-505,1,0.96,5.26,4.06,1.84
rue_1000-506,1,0.84,7.09,3.7,1.83
rue_1000-507,1,0.8,6.51,3.98,1.765
rue_1000-508,1,0.61,6.13,4.3,1.85
rue_1000-509,1,0.8,7.02,4.19,1.815
rue_1000-51,1,0.65,6.28,3.57,1.795
rue_1000-510,1,0.64,7.97,3.52,1.785
rue_1000-511,1,0.69,6.97,3.9,1.855
rue_1000-512,1,0.76,6.68,3.99,1.82
rue_1000-513,1,0.63,5.84,4.96,1.785
rue_1000-514,1,0.75,8.78,3.86,1.835
rue_1000-515,1,0.73,7.62,4.65,1.89
rue_1000-516,1,0.68,6.16,4.28,1.8
rue_1000-517,1,0.61,7.12,3.98,1.855
rue_1000-518,1,0.91,7.67,3.54,1.815
rue_1000-519,1,0.61,6.05,3.49,1.84
rue_1000-52,1,0.97,7.27,3.33,1.86
rue_1000-520,1,0.8,9.9,4.12,1.825
rue_1000-521,1,0.86,7.64,4.03,1.895
rue_1000-522,1,0.74,7.18,3.9,1.775
rue_1000-523,1,0.65,8.39,3.41,1.78
rue_1000-524,1,0.8,6.28,3.59,1.81
rue_1000-525,1,0.76,6.37,3.61,1.805
rue_1000-526,1,0.63,5.47,3.01,1.785
rue_1000-527,1,0.79,6.34,3.42,1.76
rue_1000-528,1,0.86,6.48,3.92,1.79
rue_1000-529,1,0.9,5.66,3.33,1.825
rue_1000-53,1,0.68,6.89,3.46,1.86
rue_1000-530,1,0.74,6.35,3.03,1.825
rue_1000-531,1,0.67,8.42,3.37,1.82
rue_1000-532,1,0.75,8.83,3.41,1.835
rue_1000-533,1,0.76,6.59,3.39,1.865
rue_1000-534,1,0.66,9.21,3.41,1.795
rue_1000-535,1,0.93,8.38,3.66,1.81
rue_1000-536,1,0.79,7.89,3.59,1.835
rue_1000-537,1,0.92,7.53,3.55,1.785
rue_1000-538,1,0.73,8.67,3.67,1.86
rue_1000-539,1,0.74,7.35,3.93,1.885
rue_1000-54,1,0.84,6.05,3.78,1.81
rue_1000-540,1,0.64,6.75,3.34,1.795
rue_1000-541,1,0.77,7.03,3.59,1.85
rue_1000-542,1,0.87,6.57,3.82,1.84
rue_1000-543,1,0.82,6.28,3.43,1.79
rue_1000-544,1,0.68,6.52,3.66,1.835
rue_1000-545,1,0.86,6.83,3.35,1.76
rue_1000-546,1,0.67,6.16,3.86,1.81
rue_1000-547,1,0.77,5.39,3.32,1.815
rue_1000-548,1,1.12,7.64,3.43,1.84
rue_1000-549,1,0.71,7.65,3.64,1.835
rue_1000-55,1,0.67,7.34,4.59,1.845
rue_1000-550,1,0.61,6.26,3.98,1.79
rue_1000-551,1,0.6,7.14,3.7,1.89
rue_1000-552,1,0.74,6.51,3.71,1.815
rue_1000-553,1,0.73,7.7,3.62,1.87
rue_1000-554,1,0.63,7.06,3.72,1.74
rue_1000-555,1,0.75,6.25,3.91,1.755
rue_1000-556,1,0.7,8.08,4.12,1.85
rue_1000-557,1,0.61,5.29,4.08,1.74
rue_1000-558,1,0.83,6.23,4.25,1.85
rue_1000-559,1,0.61,6.82,4.29,1.71
rue_1000-56,1,0.62,7.66,3.86,1.83
rue_1000-560,1,0.66,6.12,3.96,1.8
rue_1000-561,1,0.79,7.78,4.23,1.82
rue_1000-562,1,0.61,7.47,3.83,1.82
rue_1000-563,1,0.83,7.27,3.49,1.805
rue_1000-564,1,0.65,5.03,3.87,1.815
rue_1000-565,1,0.61,5.74,4.18,1.735
rue_1000-566,1,0.64,6.47,3.55,1.815
rue_1000-567,1,0.6,6.17,3.41,1.895
rue_1000-568,1,0.66,6.23,3.69,1.86
rue_1000-569,1,0.82,7.28,3.86,1.835
rue_1000-57,1,0.6,6.16,3.65,1.78
rue_1000-570,1,0.55,6.4,3.36,1.8
